C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,GEO_ID,NAME
438215,1898,211876,1547,184133,1467,129279,1816,208,134,129071,1841,119433,1988,9638,879,54854,1646,27743,467,4680,374,4511,399,169,82,23063,591,226339,1424,188664,1393,111154,1655,20,25,111134,1657,105089,1664,6045,623,77510,1823,37675,494,4045,469,3938,464,107,63,33630,596,5001600US4834,"Congressional District 34 (116th Congress), Texas"
373080,4421,188591,3155,171199,3012,134830,2727,445,192,134385,2783,128629,2708,5756,638,36369,1429,17392,738,3390,383,3282,381,108,57,14002,615,184489,2520,161445,2256,105891,2043,121,134,105770,2057,99566,2051,6204,709,55554,1689,23044,762,3163,370,3087,373,76,56,19881,725,5001600US4835,"Congressional District 35 (116th Congress), Texas"
136260,3143,70930,1953,66086,1944,54070,1743,112,87,53958,1755,50164,1658,3794,501,12016,906,4844,485,1544,320,1450,321,94,89,3300,402,65330,1859,59946,1746,35198,1436,0,32,35198,1436,32001,1272,3197,623,24748,1202,5384,634,664,185,637,179,27,39,4720,559,5001600US4836,"Congressional District 36 (116th Congress), Texas"
64758,654,33162,405,31241,385,26059,586,277,122,25782,578,24665,672,1117,255,5182,519,1921,115,519,136,516,135,3,5,1402,140,31596,495,29396,450,20314,620,70,75,20244,644,19335,623,909,219,9082,553,2200,161,411,121,403,120,8,11,1789,158,5001600US4901,"Congressional District 1 (116th Congress), Utah"
80802,1955,41647,1282,39060,1255,32373,1142,59,47,32314,1140,31154,1103,1160,256,6687,667,2587,275,837,188,837,188,0,27,1750,235,39155,1185,36108,1142,24701,1112,0,27,24701,1112,23334,1025,1367,268,11407,815,3047,306,379,116,379,116,0,27,2668,305,5001600US4902,"Congressional District 2 (116th Congress), Utah"
53351,998,26562,743,25090,746,21844,731,32,30,21812,732,20918,784,894,222,3246,364,1472,138,512,129,501,128,11,18,960,130,26789,559,24757,557,16610,608,6,11,16604,608,15856,604,748,194,8147,548,2032,150,377,115,360,116,17,28,1655,187,5001600US4903,"Congressional District 3 (116th Congress), Utah"
90206,1831,46772,1251,44429,1219,38332,1157,25,30,38307,1160,36958,1142,1349,307,6097,629,2343,270,646,187,646,187,0,27,1697,243,43434,979,40382,995,29058,957,0,27,29058,957,27800,991,1258,284,11324,760,3052,262,436,150,436,150,0,27,2616,249,5001600US4904,"Congressional District 4 (116th Congress), Utah"
9220,88,4486,151,4146,165,3122,211,1,3,3121,211,2973,190,148,105,1024,164,340,112,109,90,101,89,8,13,231,82,4734,162,4185,168,3153,219,0,22,3153,219,2957,220,196,94,1032,194,549,94,85,45,85,45,0,22,464,86,5001600US5000,"Congressional District (at Large) (116th Congress), Vermont"
54771,1580,28269,968,27240,972,23701,958,1651,549,22050,1055,21427,1074,623,203,3539,505,1029,212,392,131,384,130,8,15,637,171,26502,935,24718,904,17292,863,105,73,17187,869,16234,841,953,301,7426,773,1784,225,376,123,376,123,0,29,1408,223,5001600US5101,"Congressional District 1 (116th Congress), Virginia"
43986,700,23221,486,22240,484,19497,507,5557,591,13940,659,13223,638,717,209,2743,324,981,83,300,124,300,124,0,29,681,107,20765,411,19259,417,12957,557,1695,293,11262,524,10569,524,693,203,6302,459,1506,111,211,76,211,76,0,29,1295,132,5001600US5102,"Congressional District 2 (116th Congress), Virginia"
