GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
0400000US12,12,Florida,10469177,1359,1165143,10505,708116,6986,9,13,708107,6985,632571,6184,75536,2755,457027,6527,2948292,21047,2115578,16079,3813,517,2111765,16045,1947050,15098,164715,3887,832714,8950,3314573,13159,2581247,13143,17153,920,2564094,12925,2411104,12727,152990,3531,733326,6585,3041169,21041,2538912,19690,14940,954,2523972,19478,2429855,19052,94117,2275,502257,5895
0400000US13,13,Georgia,5393396,2348,664881,7488,384038,5692,135,76,383903,5688,340000,5533,43903,1619,280843,4155,1452688,12192,1021257,9543,4545,495,1016712,9570,939561,9616,77151,2510,431431,6032,1589636,9849,1246465,8722,15004,927,1231461,8713,1153942,8550,77519,2232,343171,4373,1686191,12814,1446509,12140,9983,758,1436526,11827,1390392,11522,46134,1589,239682,3496
0400000US15,15,Hawaii,746194,171,46673,1540,29906,1316,56,57,29850,1313,27591,1221,2259,355,16767,997,200128,2850,151951,2400,4351,455,147600,2365,139346,2308,8254,711,48177,1646,252927,2692,204301,2556,12136,637,192165,2434,183846,2384,8319,604,48626,1501,246466,3009,211083,2942,8536,543,202547,2910,197935,2864,4612,429,35383,1317
0400000US16,16,Idaho,822864,762,75617,2083,49833,1788,0,28,49833,1788,45852,1715,3981,504,25784,1231,218916,3711,157976,3586,341,177,157635,3565,150030,3500,7605,640,60940,1902,303184,3125,230078,2963,1623,294,228455,2920,219488,2959,8967,731,73106,2262,225147,3169,188945,3081,591,151,188354,3118,184118,3043,4236,467,36202,1190
0400000US17,17,Illinois,6818147,1144,685186,6268,424744,5105,26,42,424718,5105,376742,4790,47976,1760,260442,3477,1651493,10241,1222154,8193,1076,335,1221078,8121,1115164,7868,105914,2471,429339,4841,2042462,9183,1649953,9002,4721,504,1645232,9031,1539665,8581,105567,2216,392509,3979,2439006,13101,2125528,12661,3215,343,2122313,12659,2053045,12585,69268,1717,313478,3058
0400000US18,18,Indiana,3400883,1334,353865,5119,202011,3954,30,40,201981,3953,179550,3551,22431,1146,151854,2399,1071214,7140,785719,5400,356,151,785363,5413,736746,4802,48617,1766,285495,3826,1057706,6624,855064,5877,1324,261,853740,5881,812214,5696,41526,1251,202642,2844,918098,9288,803451,8595,843,207,802608,8586,784399,8477,18209,781,114647,2341
0400000US19,19,Iowa,1566888,942,111003,2519,73244,1984,0,22,73244,1984,67227,1922,6017,651,37759,1200,435287,3842,340836,3248,187,112,340649,3260,325292,3036,15357,738,94451,1778,550535,3763,466012,3746,732,197,465280,3724,450513,3673,14767,802,84523,1675,470063,4675,418837,4356,626,141,418211,4358,411962,4366,6249,458,51226,1597
0400000US20,20,Kansas,1460468,1124,130159,2417,84984,1761,79,54,84905,1765,78076,1705,6829,587,45175,1530,348251,3382,261381,3021,1851,284,259530,3028,246711,2943,12819,795,86870,1708,484892,3986,394588,3439,5177,544,389411,3347,374158,3284,15253,882,90304,1977,497166,4812,434669,4585,4143,425,430526,4549,422077,4494,8449,524,62497,1588
0400000US21,21,Kentucky,2313493,1481,280798,4436,122501,2929,42,36,122459,2925,107458,2747,15001,948,158297,3260,744002,5006,496500,4780,1145,225,495355,4809,459641,4491,35714,1359,247502,3221,717956,4589,547514,4097,4376,444,543138,4134,514150,4002,28988,1125,170442,2892,570737,6781,491733,6233,2921,341,488812,6195,475946,6091,12866,832,79004,1815
0400000US22,22,Louisiana,2436221,1389,345576,4874,175084,3342,10,13,175074,3343,152780,3253,22294,1351,170492,3516,804886,7402,553282,6285,1335,284,551947,6234,514609,5985,37338,1721,251604,3743,696114,6789,537020,5924,4955,482,532065,5956,502744,5998,29321,1397,159094,3124,589645,7032,505581,6762,3871,466,501710,6748,487363,6542,14347,862,84064,2177
0400000US23,23,Maine,710955,520,42809,1420,21274,876,0,23,21274,876,18886,845,2388,374,21535,1117,222157,2969,161010,2484,172,78,160838,2483,151002,2316,9836,672,61147,1804,226063,2772,180888,2448,743,215,180145,2442,172142,2471,8003,587,45175,1283,219926,3146,192748,2872,535,181,192213,2836,188400,2848,3813,403,27178,993
0400000US24,24,Maryland,3246242,832,290231,4151,190218,3358,10,19,190208,3359,170855,3382,19353,1129,100013,2171,773102,6657,589599,6290,1040,206,588559,6302,545011,5684,43548,1668,183503,2994,863822,5772,712691,4885,7225,698,705466,4857,667106,4758,38360,1388,151131,3078,1319087,7731,1174124,7724,9552,691,1164572,7585,1132319,7796,32253,1317,144963,2015
