"B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M","GEO_ID","NAME"
"3236330","801","280947","4424","183732","3408","31","32","183701","3406","169368","3113","14333","949","97215","2223","756896","7066","574175","5794","1516","312","572659","5777","537931","5592","34728","1373","182721","2950","847471","6180","697900","5356","8627","590","689273","5278","658901","5034","30372","1460","149571","2667","1351016","8967","1205793","8701","10975","687","1194818","8556","1166556","8526","28262","1077","145223","2402","0400000US24","Maryland"
"3674594","669","282754","4578","173876","3693","0","29","173876","3693","158392","3540","15484","1179","108878","2885","823592","8831","630419","7223","682","243","629737","7238","592736","6783","37001","1613","193173","3850","861818","5654","707757","5078","1511","262","706246","5091","675409","5155","30837","1203","154061","2496","1706430","9786","1513396","9371","2088","260","1511308","9379","1474149","9421","37159","1244","193034","2918","0400000US25","Massachusetts"
"5147137","1062","420154","5098","220588","3696","0","24","220588","3696","193261","3440","27327","1169","199566","2816","1386923","9473","959477","7553","420","130","959057","7545","894059","7253","64998","1836","427446","4524","1763082","6645","1376878","6085","1460","243","1375418","6087","1311779","6359","63639","1980","386204","3485","1576978","11613","1362539","10808","1414","262","1361125","10787","1329217","10686","31908","1084","214439","2761","0400000US26","Michigan"
"2908202","851","178196","3067","118058","2497","0","20","118058","2497","108306","2479","9752","698","60138","1518","632253","5938","496292","5239","163","63","496129","5243","475453","4976","20676","1136","135961","2448","985020","5623","840643","5597","841","167","839802","5598","814757","5361","25045","985","144377","2111","1112733","7636","1001097","7393","1065","228","1000032","7365","982694","7345","17338","732","111636","1885","0400000US27","Minnesota"
"1514648","1347","205933","3970","98696","2100","16","20","98680","2097","85303","2110","13377","1057","107237","2854","451945","5496","298007","4539","690","188","297317","4526","274730","4237","22587","1285","153938","2800","515583","5456","394711","4838","3133","429","391578","4859","370435","4972","21143","1172","120872","2786","341187","5642","290582","5136","2751","314","287831","5118","279673","5093","8158","762","50605","1502","0400000US28","Mississippi"
"3143324","1549","277718","4083","152394","2920","0","27","152394","2920","136413","2552","15981","1013","125324","2246","897440","6485","642712","5375","993","304","641719","5361","610123","5200","31596","1308","254728","3718","988271","5387","787457","5230","4555","575","782902","5227","755096","5397","27806","1198","200814","3072","979895","8654","857037","8279","4181","559","852856","8234","836484","8330","16372","953","122858","2283","0400000US29","Missouri"
"532584","780","30476","1355","17996","1085","6","9","17990","1085","16325","1012","1665","322","12480","722","147710","2679","109171","2401","153","68","109018","2393","104349","2298","4669","505","38539","1408","180021","2170","140831","1992","922","191","139909","2009","135339","1989","4570","505","39190","1139","174377","2519","150958","2444","577","165","150381","2449","147337","2359","3044","429","23419","907","0400000US30","Montana"
"956957","772","79049","1838","55213","1746","0","23","55213","1746","51631","1668","3582","454","23836","918","221393","2837","174603","2442","283","98","174320","2440","168753","2438","5567","530","46790","1417","330855","2464","282101","2195","1870","249","280231","2182","273929","2133","6302","521","48754","1250","325660","3310","293240","3026","2304","267","290936","2970","286819","2968","4117","399","32420","1007","0400000US31","Nebraska"
"1587514","514","214803","3485","148494","2736","20","25","148474","2738","138648","2743","9826","763","66309","1994","446510","4808","333677","4638","307","107","333370","4668","311213","4453","22157","1176","112833","2600","539808","4505","424298","4466","3237","432","421061","4453","399571","4348","21490","1074","115510","2154","386393","4795","324243","4599","2565","324","321678","4601","310676","4606","11002","667","62150","1713","0400000US32","Nevada"
"724542","507","42681","1571","26372","1364","0","27","26372","1364","24867","1296","1505","269","16309","936","190566","2764","147798","2699","267","108","147531","2672","141680","2680","5851","540","42768","1342","214467","2962","179220","2878","619","170","178601","2873","173488","2782","5113","553","35247","1191","276828","3106","244278","3076","342","127","243936","3063","239345","2994","4591","485","32550","1010","0400000US33","New Hampshire"
"4736094","633","401104","5495","262560","4115","53","44","262507","4115","243100","3899","19407","972","138544","2935","1188770","10374","899548","8839","575","149","898973","8846","841137","8301","57836","2092","289222","4971","1136078","6977","931683","6595","3412","426","928271","6564","883034","6405","45237","1678","204395","3536","2010142","11516","1754790","11249","2490","374","1752300","11199","1699330","11102","52970","1703","255352","3241","0400000US34","New Jersey"
"1050684","782","142682","3020","79834","2316","6","8","79828","2314","71024","2127","8804","814","62848","2229","282498","3895","188793","3193","442","163","188351","3177","175427","3073","12924","1093","93705","2434","350191","3474","260159","3032","3288","498","256871","2926","242524","3047","14347","886","90032","2037","275313","3746","228052","3611","2381","329","225671","3551","219070","3363","6601","682","47261","1591","0400000US35","New Mexico"
