"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"5001600US1226","Congressional District 26 (116th Congress), Florida","444460","3972","213340","2594","182756","2604","144922","2467","455","191","144467","2454","137676","2374","6791","656","37834","1443","30584","1082","6775","593","6447","573","328","107","23809","944","231120","2786","186732","2626","127972","2428","41","41","127931","2422","120739","2277","7192","775","58760","1541","44388","1212","4721","492","4560","510","161","82","39667","1163"
"5001600US3903","Congressional District 3 (116th Congress), Ohio","33280","1048","17901","675","17246","664","14256","736","34","38","14222","742","13471","708","751","192","2990","416","655","114","179","83","170","81","9","16","476","120","15379","601","14690","552","9699","517","12","19","9687","517","8851","509","836","228","4991","501","689","153","117","63","117","63","0","27","572","160"
"5001600US0623","Congressional District 23 (116th Congress), California","198154","2806","103179","1777","95673","1733","70615","1664","299","149","70316","1659","63688","1662","6628","614","25058","1088","7506","518","1379","271","1271","265","108","88","6127","468","94975","1686","86199","1703","50606","1452","42","34","50564","1454","45152","1445","5412","629","35593","1658","8776","601","971","268","888","256","83","67","7805","524"
"5001600US0605","Congressional District 5 (116th Congress), California","145100","2019","74356","1478","69244","1360","58278","1331","76","53","58202","1334","54855","1425","3347","560","10966","788","5112","340","1560","255","1480","248","80","63","3552","324","70744","1308","64180","1209","43702","1275","0","29","43702","1275","40588","1242","3114","485","20478","979","6564","419","927","220","894","221","33","26","5637","436"
"5001600US0627","Congressional District 27 (116th Congress), California","155021","3065","73075","2047","64783","1995","52181","1702","13","19","52168","1704","49180","1611","2988","470","12602","836","8292","524","1512","229","1489","227","23","24","6780","477","81946","1791","69095","1649","47512","1263","11","17","47501","1262","45261","1277","2240","325","21583","1081","12851","640","1428","237","1394","235","34","31","11423","628"
"5001600US2609","Congressional District 9 (116th Congress), Michigan","12138","730","6065","506","5657","499","4903","471","0","23","4903","471","4575","469","328","122","754","208","408","84","116","52","116","52","0","23","292","78","6073","455","5325","430","3879","374","36","42","3843","379","3650","363","193","110","1446","254","748","142","131","64","131","64","0","23","617","123"
"5001600US5307","Congressional District 7 (116th Congress), Washington","44521","1656","23196","1127","22072","1107","18926","1029","142","86","18784","1021","17984","1024","800","204","3146","437","1124","199","273","137","253","135","20","22","851","197","21325","947","19775","931","15394","838","13","26","15381","832","14659","825","722","199","4381","460","1550","242","309","138","240","115","69","89","1241","225"
"5001600US3406","Congressional District 6 (116th Congress), New Jersey","117531","1350","58733","875","54282","882","44076","1093","99","75","43977","1102","42052","1070","1925","315","10206","702","4451","301","843","166","831","166","12","19","3608","283","58798","841","53048","809","36439","957","4","14","36435","956","34226","889","2209","324","16609","925","5750","338","907","226","814","199","93","65","4843","365"
"5001600US3619","Congressional District 19 (116th Congress), New York","38475","747","20792","485","19157","483","11814","532","32","32","11782","537","10802","535","980","209","7343","475","1635","124","361","116","307","112","54","66","1274","161","17683","420","15630","429","10094","461","24","30","10070","464","9047","451","1023","172","5536","407","2053","138","420","120","412","120","8","14","1633","139"
"5001600US3607","Congressional District 7 (116th Congress), New York","228257","3249","110840","2042","98758","2000","74254","1671","6","9","74248","1671","68960","1593","5288","605","24504","1157","12082","526","2122","304","2053","308","69","55","9960","512","117417","1937","97780","1898","59974","1571","11","18","59963","1575","54838","1470","5125","565","37806","1239","19637","806","1322","225","1270","215","52","33","18315","794"
