C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,GEO_ID,NAME
571084,2793,270359,1794,191060,1697,146288,1843,722,211,145566,1889,136741,1961,8825,650,44772,1364,79299,885,11363,616,10889,609,474,107,67936,1042,300725,1635,203169,1595,136135,1742,20,23,136115,1741,129654,1727,6461,565,67034,1722,97556,967,10367,605,9842,581,525,126,87189,968,5001600US1212,"Congressional District 12 (116th Congress), Florida"
506258,2660,244887,1818,176396,1594,138136,1748,847,201,137289,1777,130021,1791,7268,655,38260,1556,68491,900,12133,732,11679,713,454,117,56358,984,261371,1471,178773,1395,130759,1533,143,95,130616,1530,124784,1573,5832,563,48014,1424,82598,943,11580,549,11125,532,455,125,71018,1133,5001600US1213,"Congressional District 13 (116th Congress), Florida"
456329,3268,223410,2355,187619,2261,153469,2202,1761,273,151708,2204,145091,2173,6617,680,34150,1496,35791,731,8430,620,8168,614,262,93,27361,750,232919,1882,188644,1726,135585,1911,215,95,135370,1924,128296,1838,7074,721,53059,1268,44275,872,6603,504,6382,494,221,90,37672,844,5001600US1214,"Congressional District 14 (116th Congress), Florida"
483705,4817,235596,3292,185931,2902,145359,2536,733,191,144626,2576,138048,2482,6578,594,40572,1678,49665,1172,9671,706,9434,687,237,110,39994,1107,248109,2689,188009,2374,128217,2412,32,27,128185,2410,121881,2265,6304,632,59792,1895,60100,1338,6855,558,6513,551,342,132,53245,1319,5001600US1215,"Congressional District 15 (116th Congress), Florida"
588699,3073,280768,1875,187187,1718,148537,1993,842,187,147695,1964,140343,1909,7352,768,38650,1437,93581,878,16846,741,16123,708,723,197,76735,1093,307931,1943,195983,1604,136924,1767,185,121,136739,1746,130795,1843,5944,558,59059,1458,111948,1174,13025,798,12598,783,427,121,98923,1355,5001600US1216,"Congressional District 16 (116th Congress), Florida"
578602,3175,284039,2330,173020,2128,122667,2249,207,162,122460,2269,115292,2354,7168,781,50353,1677,111019,1033,13952,744,13320,737,632,143,97067,1105,294563,1968,172665,1692,109030,2037,18,25,109012,2031,103002,2023,6010,643,63635,1878,121898,1027,10969,878,10620,846,349,115,110929,1262,5001600US1217,"Congressional District 17 (116th Congress), Florida"
528404,2923,255856,2004,174409,1768,137688,2183,438,215,137250,2192,131160,2243,6090,704,36721,1578,81447,912,15346,836,14630,817,716,188,66101,1036,272548,2114,177970,1985,124628,2075,131,141,124497,2064,119527,2129,4970,633,53342,1834,94578,1103,11411,664,10914,642,497,129,83167,1075,5001600US1218,"Congressional District 18 (116th Congress), Florida"
606882,3141,293976,1997,179901,1837,139155,1889,237,111,138918,1892,132733,1887,6185,741,40746,1565,114075,1058,19439,885,18841,859,598,146,94636,1297,312906,1888,187433,1717,125980,2022,19,30,125961,2024,119094,1892,6867,769,61453,1750,125473,955,13407,826,12924,805,483,179,112066,1166,5001600US1219,"Congressional District 19 (116th Congress), Florida"
246985,3981,124069,2771,100613,2749,79945,2393,115,70,79830,2392,75360,2342,4470,515,20668,1112,23456,994,4909,537,4659,543,250,130,18547,932,122916,2165,92363,1919,66703,1663,53,56,66650,1663,62373,1692,4277,750,25660,1157,30553,1186,4265,468,4156,460,109,56,26288,1131,5001600US1220,"Congressional District 20 (116th Congress), Florida"
507523,3433,242677,2505,162192,2513,134363,2396,139,67,134224,2395,127448,2344,6776,742,27829,1305,80485,951,17186,766,16614,798,572,150,63299,1077,264846,2163,163288,1736,117526,1899,14,26,117512,1899,110641,1856,6871,571,45762,1271,101558,1194,11888,645,11356,635,532,125,89670,1366,5001600US1221,"Congressional District 21 (116th Congress), Florida"
