"GEO_ID","NAME","C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M"
"0400000US36","New York","10400189","12724","5049433","7131","4043840","6735","3217722","8984","14829","734","3202893","8870","3035037","8871","167856","2796","826118","5969","1005593","1477","240974","2387","232388","2334","8586","603","764619","2573","5350756","6799","4045650","6015","2918859","7476","1628","285","2917231","7430","2784544","7774","132687","2608","1126791","6563","1305106","1850","201672","2513","195184","2443","6488","513","1103434","2832"
"0400000US37","North Carolina","5739846","4777","2793195","3041","2235254","3025","1791561","5316","64995","1505","1726566","5238","1641114","5004","85452","2258","443693","4828","557941","559","117642","1827","114267","1775","3375","354","440299","1859","2946651","2642","2247057","2693","1548337","5213","4985","591","1543352","5206","1462105","5760","81247","2214","698720","5454","699594","566","90159","1590","87737","1545","2422","266","609435","1616"
"0400000US38","North Dakota","529937","825","271022","637","222599","641","191567","1279","4367","414","187200","1224","182387","1233","4813","575","31032","1184","48423","71","13013","460","12794","467","219","97","35410","480","258915","474","201079","468","159373","1105","542","156","158831","1082","155403","1226","3428","423","41706","1044","57836","60","9467","424","9363","434","104","53","48369","422"
"0400000US39","Ohio","7756217","3066","3771264","2173","3030348","2174","2426874","4841","6086","522","2420788","4900","2295839","5689","124949","2478","603474","4549","740916","392","157137","2100","152809","2101","4328","390","583779","2100","3984953","1892","3040967","1842","2194268","5610","1045","182","2193223","5603","2094261","5635","98962","2270","846699","5621","943986","426","128986","1520","125258","1529","3728","332","815000","1628"
"0400000US40","Oklahoma","2293677","2428","1123604","1760","900109","1665","705263","2359","10782","769","694481","2145","661280","2436","33201","1005","194846","2112","223495","326","50109","975","49022","952","1087","138","173386","990","1170073","1270","893002","1175","598368","2517","2138","300","596230","2470","568367","2574","27863","1011","294634","2443","277071","313","41030","1053","40241","1051","789","131","236041","1123"
"0400000US41","Oregon","2844255","3253","1394717","2099","1103211","2147","868740","3288","2162","308","866578","3288","813000","3126","53578","1652","234471","3104","291506","353","54686","1208","52451","1178","2235","296","236820","1272","1449538","1919","1104109","1874","780990","3290","361","145","780629","3296","737776","3445","42853","1364","323119","3342","345429","422","45545","1265","44072","1239","1473","221","299884","1303"
"0400000US42","Pennsylvania","8605333","4180","4179401","2447","3302477","2428","2655811","5069","3777","386","2652034","5145","2512193","5759","139841","2747","646666","4809","876924","468","195746","1913","189143","1838","6603","418","681178","1870","4425932","2781","3298049","2622","2404596","5237","589","146","2404007","5247","2295721","5491","108286","2388","893453","5140","1127883","570","160682","1923","155859","1958","4823","391","967201","1985"
"0400000US44","Rhode Island","722889","2030","345341","1364","276772","1293","221627","1774","2528","325","219099","1768","205710","1954","13389","808","55145","1534","68569","249","17286","657","16477","662","809","207","51283","694","377548","1068","285905","1024","213933","1991","364","145","213569","2008","203035","2126","10534","676","71972","1767","91643","294","13595","662","13116","649","479","141","78048","659"
"0400000US45","South Carolina","2748728","2342","1338079","1584","1045167","1589","826236","2675","19223","993","807013","2860","767642","2977","39371","1658","218931","2536","292912","301","59876","1194","58631","1226","1245","209","233036","1217","1410649","1139","1058869","1135","720051","3610","3418","445","716633","3608","678258","3691","38375","1598","338818","3661","351780","309","44438","1364","43379","1349","1059","208","307342","1389"
"0400000US46","South Dakota","586528","857","293403","617","233467","633","200502","1189","2053","297","198449","1144","192965","1212","5484","488","32965","962","59936","95","17103","611","16912","620","191","62","42833","634","293125","515","222638","534","177895","1429","206","71","177689","1423","173843","1421","3846","403","44743","1425","70487","171","12888","515","12643","519","245","120","57599","527"
"0400000US47","Tennessee","4216600","2891","2046127","2042","1640068","1988","1273084","3550","11937","684","1261147","3637","1197998","4253","63149","1914","366984","3698","406059","353","85249","1545","82839","1519","2410","330","320810","1606","2170473","1486","1666023","1449","1118883","4552","1073","245","1117810","4567","1058963","4831","58847","1650","547140","4633","504450","398","67167","1347","65143","1328","2024","301","437283","1324"
"0400000US48","Texas","16041219","15765","7918622","9098","6677729","8970","5368066","10398","54243","1721","5313823","10332","5054394","10557","259429","4588","1309663","8297","1240893","1597","309862","3218","299064","3068","10798","591","931031","3218","8122597","8813","6598337","8208","4354165","11386","7936","771","4346229","11364","4120307","10911","225922","3833","2244172","11907","1524260","1793","230127","2846","224204","2703","5923","560","1294133","3331"
"0400000US49","Utah","1943875","3218","967894","2037","827717","2009","700928","2459","2772","350","698156","2577","671574","2741","26582","1303","126789","2140","140177","268","33761","941","33222","947","539","127","106416","944","975981","1791","813355","1749","559463","2944","421","155","559042","2939","538505","2804","20537","915","253892","2855","162626","343","21788","792","21393","810","395","114","140838","808"
"0400000US50","Vermont","495158","463","241920","322","191304","321","152565","1094","467","127","152098","1120","145000","1111","7098","543","38739","1031","50616","76","14174","521","13805","526","369","94","36442","515","253238","326","193008","326","148233","1123","31","34","148202","1127","142976","1193","5226","506","44775","1107","60230","80","11326","432","11034","399","292","125","48904","439"
"0400000US51","Virginia","4695051","4443","2308487","2972","1875271","2975","1534629","4263","71208","1782","1463421","4263","1399607","4562","63814","1916","340642","3760","433216","489","106137","1676","103221","1636","2916","301","327079","1679","2386564","2495","1854946","2504","1327197","4736","11973","751","1315224","4832","1259436","4978","55788","1849","527749","4370","531618","571","82494","1751","80837","1733","1657","249","449124","1728"
"0400000US54","West Virginia","1406047","1397","685569","947","535667","920","373733","2367","777","185","372956","2396","344335","2353","28621","1264","161934","2235","149902","153","22769","846","22133","841","636","142","127133","843","720478","842","538812","829","329751","2330","158","100","329593","2349","310411","2343","19182","997","209061","2383","181666","176","21134","875","20575","876","559","148","160532","907"
"0400000US53","Washington","4553307","5140","2262747","3018","1829493","3004","1475788","4553","32142","1201","1443646","4375","1367960","4848","75686","1994","353705","3375","433254","473","87574","1631","84870","1568","2704","337","345680","1558","2290560","2899","1780032","2832","1251512","4583","4040","457","1247472","4583","1186705","4654","60767","1734","528520","4090","510528","423","69700","1333","67633","1303","2067","293","440828","1403"
