"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"5001600US1219","Congressional District 19 (116th Congress), Florida","366899","1907","45134","1875","30448","1663","0","31","30448","1663","28635","1603","1813","355","14686","1043","106183","2690","77946","2181","78","55","77868","2189","72949","2257","4919","626","28237","1524","107787","2535","81746","2224","57","60","81689","2215","77413","2227","4276","633","26041","1149","107795","2359","82482","2083","39","47","82443","2082","79893","2087","2550","406","25313","1286"
"5001600US1222","Congressional District 22 (116th Congress), Florida","403045","2940","32658","1655","23291","1241","0","31","23291","1241","21247","1192","2044","360","9367","804","94467","2614","74846","2236","43","47","74803","2236","69864","2237","4939","581","19621","1107","115477","2003","96357","1998","115","96","96242","2001","91594","1934","4648","586","19120","996","160443","2846","135221","2586","140","78","135081","2593","130077","2481","5004","604","25222","1239"
"5001600US1224","Congressional District 24 (116th Congress), Florida","412511","3242","69956","2651","42581","1833","0","31","42581","1833","37855","1715","4726","597","27375","1694","133797","3092","97018","2431","35","46","96983","2422","87604","2314","9379","864","36779","2112","119583","2568","97930","2394","47","47","97883","2394","90403","2312","7480","649","21653","1195","89175","2950","76115","2668","43","39","76072","2664","72084","2567","3988","530","13060","1007"
"5001600US1227","Congressional District 27 (116th Congress), Florida","425762","3239","41422","2086","27635","1861","0","31","27635","1861","25543","1794","2092","449","13787","1028","101375","3515","79491","3149","99","82","79392","3141","75165","2954","4227","607","21884","1260","101970","2441","82789","2319","68","42","82721","2320","78981","2235","3740","420","19181","1172","180995","3321","155905","3031","104","73","155801","3032","151103","2932","4698","536","25090","1238"
"5001600US1302","Congressional District 2 (116th Congress), Georgia","340696","1612","52098","1820","24392","1327","34","34","24358","1326","20130","1194","4228","589","27706","1289","112970","2090","72115","1713","1118","224","70997","1679","64266","1558","6731","778","40855","1426","113301","2542","83371","2168","2484","367","80887","2070","75449","2071","5438","620","29930","1112","62327","1684","51776","1510","1700","277","50076","1503","48359","1502","1717","269","10551","610"
"5001600US1305","Congressional District 5 (116th Congress), Georgia","422264","2986","42835","1695","23813","1370","0","31","23813","1370","19835","1300","3978","544","19022","1194","92695","2757","64581","2039","27","32","64554","2037","57635","2044","6919","763","28114","1466","101801","2869","79766","2331","151","101","79615","2327","72646","2231","6969","849","22035","1426","184933","3297","166620","3136","184","88","166436","3132","161976","3101","4460","472","18313","1085"
"5001600US1307","Congressional District 7 (116th Congress), Georgia","432350","2174","46198","1996","32956","1663","0","31","32956","1663","31527","1678","1429","293","13242","1148","85275","2622","65256","2259","54","63","65202","2259","62521","2147","2681","439","20019","1158","115819","3049","94731","2708","181","95","94550","2713","90438","2666","4112","665","21088","1254","185058","2971","158065","2855","111","96","157954","2837","153538","2811","4416","468","26993","1289"
"5001600US1310","Congressional District 10 (116th Congress), Georgia","371262","2485","44350","1719","23294","1196","0","31","23294","1196","20706","1080","2588","488","21056","1072","119849","2708","83257","2166","8","14","83249","2168","78514","2117","4735","482","36592","1431","107571","2829","83941","2723","331","169","83610","2716","80187","2587","3423","622","23630","979","99492","2197","84963","2146","336","125","84627","2155","82557","2171","2070","361","14529","826"
"5001600US1312","Congressional District 12 (116th Congress), Georgia","367763","1345","52795","1785","25185","1208","14","24","25171","1206","22037","1207","3134","548","27610","1223","120033","2320","78064","2066","750","213","77314","2083","71885","1959","5429","628","41969","1620","114257","2287","84797","2122","3101","489","81696","2060","77364","2071","4332","603","29460","1312","80678","2285","67329","2135","1792","366","65537","2040","63461","1936","2076","333","13349","975"
"5001600US1601","Congressional District 1 (116th Congress), Idaho","434475","1666","38582","1773","25188","1474","0","28","25188","1474","23717","1466","1471","310","13394","968","123568","3015","86580","2599","197","166","86383","2576","82235","2486","4148","675","36988","1707","160645","3058","120433","2736","513","250","119920","2750","115489","2679","4431","521","40212","1827","111680","2790","93611","2642","165","78","93446","2650","91604","2662","1842","301","18069","1050"
